firewall,tường lửa,"A firewall helps protect the network from unauthorized access.",it,noun,"Use for a network security system that monitors and controls incoming and outgoing traffic."
protocol,giao thức,"HTTP is the protocol used for transmitting web pages.",it,noun,"Use for a set of rules governing the exchange or transmission of data between devices."
bandwidth,băng thông,"We need more bandwidth to support video streaming.",it,noun,"Use for the maximum rate of data transfer across a given path."
latency,độ trễ,"Low latency is critical for real-time applications like online gaming.",it,noun,"Use for the delay before a transfer of data begins following an instruction."
"--- Chủ đề: Trí tuệ nhân tạo (AI) - Khái niệm cơ bản ---",,"",,,""
data,dữ liệu,"The model needs a large amount of data for training.",ai,noun,"Use for facts and statistics collected together for reference or analysis."
label,nhãn,"Each image in the dataset has a label indicating its content.",ai,noun,"Use in supervised learning for the correct answer or target output for a data sample."
prediction,dự đoán,"The model's prediction was highly accurate.",ai,noun,"Use for the output of a machine learning model for a given input."
accuracy,độ chính xác,"We measured the model's accuracy on the test dataset.",ai,noun,"Use for the proportion of correct predictions among the total number of cases examined."
precision,độ chuẩn xác,"Precision measures how many of the positive predictions were actually correct.",ai,noun,"Use when the cost of a false positive is high. (e.g., spam detection)."
recall,độ bao phủ; độ thu hồi,"Recall measures how many of the actual positives the model correctly identified.",ai,noun,"Use when the cost of a false negative is high. (e.g., medical diagnosis)."
bias,độ lệch; thiên vị,"If the training data is not diverse, the model can have bias.",ai,noun,"Use for a systematic error in a model, often caused by unrepresentative training data."
variance,phương sai,"A model with high variance is overfitting to the training data.",ai,noun,"Use for a model's sensitivity to small fluctuations in the training set."
"--- Chủ đề: Các loại mô hình & thuật toán ---",,"",,,""
regression,hồi quy,"We used a linear regression model to predict house prices.",ai,noun,"Use for models that predict a continuous numerical value."
classification,phân loại,"The task is a binary classification: spam or not spam.",ai,noun,"Use for models that predict a discrete category or class label."
clustering,phân cụm,"Clustering helps group similar customers based on their behavior.",ai,noun,"Use for unsupervised learning to discover natural groupings in data."
reinforcement learning,học tăng cường,"The AI learned to play the game using reinforcement learning.",ai,noun,"Use for a type of machine learning where an agent learns to behave in an environment by performing actions and seeing the results."
supervised learning,học có giám sát,"Classification and regression are types of supervised learning.",ai,noun,"Use for machine learning tasks that learn from data which has been labeled."
unsupervised learning,học không giám sát,"Clustering is a common unsupervised learning technique.",ai,noun,"Use for machine learning tasks that find patterns in unlabeled data."
"--- Chủ đề: Các khái niệm đồng nghĩa/trái nghĩa ---",,"",,,""
increase,tăng lên,"We need to increase the server's memory.",general,verb,"Use for making something become greater in size, amount, or degree."
decrease,giảm xuống,"The optimization helped decrease the application's latency.",general,verb,"Use for making something become smaller in size, amount, or degree."
improve,cải thiện,"We are constantly working to improve the user experience.",general,verb,"Use for making something better."
worsen,làm cho tệ hơn,"Adding too many features at once can worsen performance.",general,verb,"Use for making something worse."
success,sự thành công,"The deployment was a complete success.",general,noun,"Use for the accomplishment of an aim or purpose."
failure,sự thất bại,"A single point of failure can bring down the entire system.",general,noun,"Use for the lack of success."
simple,đơn giản,"The user interface should be simple and intuitive.",general,adjective,"Use for something that is easily understood or done."
complex,phức tạp,"The system has a complex architecture with many microservices.",general,adjective,"Use for something consisting of many different and connected parts."
"--- Chủ đề: Hành động & Quá trình trong IT ---",,"",,,""
execute,thực thi,"The server will execute the script every hour.",it,verb,"Use for carrying out an order or a course of action; running a program."
compile,biên dịch,"You need to compile the source code into an executable file.",it,verb,"Use for converting a program from a high-level language into machine code."
install,cài đặt,"Please install the latest version of the framework.",it,verb,"Use for placing or fixing equipment or software in position so that it can be used."
uninstall,gỡ cài đặt,"You can uninstall the old version before installing the new one.",it,verb,"Use for removing a program or application from a computer."
backup,sao lưu,"It is critical to perform a regular database backup.",it,noun/verb,"Use as a noun for a copy of a file/database, or as a verb for the action of making that copy."
restore,khôi phục,"We had to restore the database from the latest backup after the crash.",it,verb,"Use for returning something to a former condition, often from a backup."
query,truy vấn,"This query retrieves all users from the database.",it,noun/verb,"Use for a request for data or information from a database."
commit,cam kết (lưu thay đổi),"He forgot to commit his changes to the repository.",it,verb,"Use in version control (like Git) for saving changes to the local repository."
push,đẩy (lên máy chủ),"After you commit, you need to push the changes to the remote server.",it,verb,"Use in version control for sending your committed changes to a remote repository."
pull,kéo (về từ máy chủ),"Always pull the latest changes before you start working.",it,verb,"Use in version control for fetching and merging changes from a remote repository."

word,meaning,example,tag,type,use_when
"--- SECTION: TỪ VỰNG THÔNG DỤNG (DAILY LIFE) - PART 2 ---",,"",,,""
"--- Chủ đề: Đồ vật trong nhà ---",,"",,,""
house,ngôi nhà,"He works from a small office in his house.",daily-life,noun,"Use for a building where people, usually one family, live."
home,nhà; mái ấm,"I will go home after the deployment is complete.",daily-life,noun,"Use to refer to the place where one lives, with a more personal, emotional sense than 'house'."
room,căn phòng,"The server room needs better cooling.",daily-life,noun,"Use for any separated space within a building with its own walls."
kitchen,nhà bếp,"The team often discusses ideas in the office kitchen.",daily-life,noun,"Use for the specific room where food is prepared and cooked."
bedroom,phòng ngủ,"A good night's sleep in your bedroom improves productivity.",daily-life,noun,"Use for the room used for sleeping."
bathroom,phòng tắm,"Please ensure the office bathroom is kept clean.",daily-life,noun,"Use for the room with a toilet and/or a bath/shower."
door,cửa ra vào,"Please close the door to reduce noise.",daily-life,noun,"Use for the barrier that you open and close to enter or leave a room or building."
window,cửa sổ,"The new office has a large window with a great view.",daily-life,noun,"Use for an opening in a wall or roof, fitted with glass to admit light."
table,cái bàn,"We had a meeting around the conference table.",daily-life,noun,"Use for a piece of furniture with a flat top and one or more legs."
chair,cái ghế,"An ergonomic chair is a good investment for programmers.",daily-life,noun,"Use for a seat for one person, with a back and typically four legs."
bed,cái giường,"He was tired and went to bed early.",daily-life,noun,"Use for a piece of furniture used for sleep or rest."
sofa,ghế sô pha,"Let's brainstorm on the sofa in the break room.",daily-life,noun,"Use for a long upholstered seat with a back and arms, for two or more people."
lamp,cái đèn,"A good desk lamp can reduce eye strain.",daily-life,noun,"Use for a device for giving light."
"--- Chủ đề: Địa điểm trong thành phố ---",,"",,,""
city,thành phố,"Our company has offices in three different cities.",daily-life,noun,"Use for a large and important town."
street,đường phố,"The new office is on the main street.",daily-life,noun,"Use for a public road in a city or town, typically with houses and buildings on one or both sides."
building,tòa nhà,"The security team is in the main building.",daily-life,noun,"Use for a structure with a roof and walls, such as a house or factory."
office,văn phòng,"My daily commute to the office takes 30 minutes.",daily-life,noun,"Use for a room, set of rooms, or building used as a place for commercial or professional work."
store,cửa hàng,"I bought a new mouse from the electronics store.",daily-life,noun,"Use as a general term for a place where things are sold; 'shop' is a common synonym."
shop,cửa hàng,"Let's visit the coffee shop downstairs.",daily-life,noun,"Use for a place where things are sold, often smaller than a 'store'."
market,chợ; thị trường,"We went to the local market to buy fresh vegetables.",daily-life,noun,"Use for a place where people buy and sell goods; also see 'market' in a business context."
park,công viên,"Taking a walk in the park is a good way to exercise.",daily-life,noun,"Use for a large public garden or area of land used for recreation."
school,trường học,"She is studying data science at a famous school.",daily-life,noun,"Use for an institution for educating children or for higher learning."
hospital,bệnh viện,"He went to the hospital for a health check-up.",daily-life,noun,"Use for an institution providing medical and surgical treatment for sick or injured people."
station,nhà ga,"I'll meet you at the train station.",daily-life,noun,"Use for a stopping place for public transport, like a train or bus station."
airport,sân bay,"Her flight departs from the international airport at 8 PM.",daily-life,noun,"Use for a complex of runways and buildings for the takeoff and landing of aircraft."
restaurant,nhà hàng,"The team will have dinner at a nearby restaurant to celebrate.",daily-life,noun,"Use for a place where people pay to sit and eat meals that are cooked on the premises."
"--- Chủ đề: Thức ăn & Nấu nướng ---",,"",,,""
food,thức ăn; đồ ăn,"The company provides free food for its employees.",daily-life,noun,"Use as a general term for anything that people or animals eat."
water,nước,"It's important to drink enough water during the workday.",daily-life,noun,"Use for the clear liquid that is essential for life."
cook,nấu ăn,"I need to cook a quick meal before the next meeting.",daily-life,verb,"Use as a general verb for preparing food using heat."
bake,nướng (bánh),"She likes to bake cookies during the weekend.",daily-life,verb,"Use for cooking food with dry heat, especially in an oven (e.g., bread, cakes)."
fry,chiên; rán,"Frying food is fast but can be unhealthy.",daily-life,verb,"Use for cooking food in hot fat or oil."
boil,luộc; đun sôi,"Please boil some water for tea.",daily-life,verb,"Use for cooking food in water that is bubbling at 100°C."
vegetable,rau củ,"A balanced diet includes a lot of fresh vegetables.",daily-life,noun,"Use for a plant or part of a plant used as food (e.g., carrot, potato, spinach)."
fruit,trái cây,"An apple is a healthy and convenient fruit to eat at the office.",daily-life,noun,"Use for the sweet, fleshy product of a tree or other plant that contains seed."
meat,thịt,"The restaurant is famous for its grilled meat.",daily-life,noun,"Use for the flesh of an animal as food."
bread,bánh mì,"I usually have a slice of bread for breakfast.",daily-life,noun,"Use for a food made of flour, water, and yeast mixed together and baked."
rice,gạo; cơm,"Rice is a staple food in many Asian countries.",daily-life,noun,"Use for the edible starchy grains of a particular grass plant."
sugar,đường,"Do you take sugar in your coffee?",daily-life,noun,"Use for the sweet crystalline substance obtained from various plants."
salt,muối,"This dish needs a little more salt.",daily-life,noun,"Use for the white crystalline substance used for seasoning and preserving food."
breakfast,bữa sáng,"I had a quick breakfast before starting my work.",daily-life,noun,"Use for the first meal of the day."
lunch,bữa trưa,"The team usually has lunch together at noon.",daily-life,noun,"Use for a meal eaten in the middle of the day."
dinner,bữa tối,"We have a dinner appointment with our clients tonight.",daily-life,noun,"Use for the main meal of the day, taken either in the evening or midday."
"--- Chủ đề: Giao thông & Di chuyển ---",,"",,,""
car,xe ô tô,"He drives his car to work every day.",daily-life,noun,"Use for a road vehicle, typically with four wheels, powered by an internal combustion engine or electric motor."
bus,xe buýt,"Taking the bus is an efficient way to commute in the city.",daily-life,noun,"Use for a large motor vehicle carrying passengers by road, typically on a fixed route."
train,tàu hỏa,"The train is a reliable mode of transport between cities.",daily-life,noun,"Use for a series of connected railway carriages or wagons moved by a locomotive."
bicycle,xe đạp,"Riding a bicycle is good exercise.",daily-life,noun,"Use for a vehicle with two wheels propelled by pedals. 'Bike' is a common short form."
airplane,máy bay,"The team will take an airplane to the conference in another country.",daily-life,noun,"Use for a powered flying vehicle with fixed wings. 'Plane' is a common short form."
drive,lái xe,"She learned to drive when she was 18.",daily-life,verb,"Use specifically for operating a car, truck, or bus."
ride,đi (xe đạp/máy); cưỡi,"I prefer to ride my bicycle to work when the weather is nice.",daily-life,verb,"Use for traveling on a bicycle, motorcycle, or horse. Also used as a passenger in a car."
fly,bay,"We will fly to Singapore for the business trip.",daily-life,verb,"Use for traveling in an aircraft."
"--- Chủ đề: Thời tiết ---",,"",,,""
weather,thời tiết,"The weather forecast predicts rain for tomorrow.",daily-life,noun,"Use for the state of the atmosphere at a place and time (e.g., temperature, wind, rain)."
sun,mặt trời,"The sun is shining brightly today.",daily-life,noun,"Use for the star that provides light and heat to the earth."
rain,mưa,"The meeting was postponed due to the heavy rain.",daily-life,noun/verb,"Use for moisture condensed from the atmosphere that falls visibly in separate drops."
wind,gió,"The strong wind knocked over the sign.",daily-life,noun,"Use for the perceptible natural movement of the air."
snow,tuyết,"It rarely snows in this city.",daily-life,noun/verb,"Use for atmospheric water vapor frozen into ice crystals and falling in light white flakes."
cloud,đám mây,"There isn't a single cloud in the sky today.",daily-life,noun,"In daily life, refers to a water vapor mass in the sky. In tech, see 'cloud computing'."
hot,nóng,"It's too hot in the office; we need to turn on the air conditioner.",daily-life,adjective,"Use for having a high degree of heat or a high temperature."
cold,lạnh,"Please bring a jacket; it might get cold in the evening.",daily-life,adjective,"Use for having a low temperature."
warm,ấm áp,"It's a beautiful, warm spring day.",daily-life,adjective,"Use for a comfortably high temperature; less intense than 'hot'."
cool,mát mẻ,"The server room is kept cool to prevent overheating.",daily-life,adjective,"Use for a pleasantly low temperature; less intense than 'cold'."
"--- Chủ đề: Thời gian & Lịch ---",,"",,,""
time,thời gian,"We don't have enough time to implement this extra feature.",daily-life,noun,"Use for the indefinite continued progress of existence and events."
hour,giờ; tiếng đồng hồ,"The system maintenance will take one hour.",daily-life,noun,"Use for a period of time equal to 60 minutes."
minute,phút,"The meeting will start in five minutes.",daily-life,noun,"Use for a period of time equal to 60 seconds."
second,giây,"The query executed in less than a second.",daily-life,noun,"Use for the base unit of time in the International System of Units."
day,ngày,"We have three days left before the deadline.",daily-life,noun,"Use for a period of 24 hours."
night,ban đêm,"He often works late into the night to finish his tasks.",daily-life,noun,"Use for the period of darkness between sunset and sunrise."
week,tuần,"This sprint will last for two weeks.",daily-life,noun,"Use for a period of seven days."
month,tháng,"The monthly performance report is due.",daily-life,noun,"Use for each of the twelve named periods into which a year is divided."
year,năm,"The company was founded five years ago.",daily-life,noun,"Use for a period of 365 or 366 days."
today,hôm nay,"What is the main task for today?",daily-life,adverb/noun,"Use to refer to the present day."
yesterday,hôm qua,"The system had a critical vulnerability that was patched yesterday.",daily-life,adverb/noun,"Use to refer to the day before today."
tomorrow,ngày mai,"The new software version will be deployed tomorrow morning.",daily-life,adverb/noun,"Use to refer to the day after today."
"--- Chủ đề: Mô tả (Tính từ thông dụng) ---",,"",,,""
good,tốt,"This is a good implementation of the algorithm.",general,adjective,"Use as a general term for high quality or being satisfactory."
bad,tồi; tệ,"A bad user interface can ruin a great application.",general,adjective,"Use as a general term for low quality or being unsatisfactory."
big,to; lớn,"We need to process a big dataset.",general,adjective,"Use for something of a large size."
small,nhỏ,"This is a small bug, but we should fix it immediately.",general,adjective,"Use for something of a little size."
long,dài,"The meeting was too long and not productive.",general,adjective,"Use for something measuring a great distance from end to end or in duration."
short,ngắn,"Let's take a short break.",general,adjective,"Use for something measuring a small distance from end to end or in duration."
fast,nhanh,"The new server is much faster than the old one.",general,adjective,"Use for something moving or capable of moving at high speed."
slow,chậm,"The network is very slow today.",general,adjective,"Use for something moving or capable of moving at low speed."
new,mới,"We are hiring a new programmer for the team.",general,adjective,"Use for something produced, introduced, or discovered recently or for the first time."
old,cũ,"We need to migrate the data from the old database.",general,adjective,"Use for something having lived or existed for a long time."
easy,dễ dàng,"The API is well-documented and easy to use.",general,adjective,"Use for something achieved without great effort; presenting no difficulty."
difficult,khó khăn,"It was a difficult decision to change the project's architecture.",general,adjective,"Use for something needing much effort or skill to accomplish, deal with, or understand."
beautiful,đẹp,"She created a beautiful and intuitive user interface.",general,adjective,"Use for something pleasing the senses or mind aesthetically."
ugly,xấu xí,"The old code was functional but very ugly.",general,adjective,"Use for something unpleasant or repulsive to look at."
"--- Chủ đề: Màu sắc ---",,"",,,""
color,màu sắc,"What color should we use for the main button?",daily-life,noun,"The property possessed by an object of producing different sensations on the eye as a result of the way it reflects or emits light."
red,màu đỏ,"Error messages are often displayed in red.",daily-life,adjective/noun,"Use for the color of blood or fire."
blue,màu xanh da trời,"Links on a webpage are traditionally blue.",daily-life,adjective/noun,"Use for the color of the sky on a clear day."
green,màu xanh lá cây,"A green checkmark indicates a successful validation.",daily-life,adjective/noun,"Use for the color of growing grass."
yellow,màu vàng,"Warning signs are often yellow.",daily-life,adjective/noun,"Use for the color of lemons or butter."
black,màu đen,"Many developers prefer a black background for their code editor.",daily-life,adjective/noun,"Use for the darkest color, the result of the absence of or complete absorption of light."
white,màu trắng,"The report should be printed on white paper.",daily-life,adjective/noun,"Use for the color of milk or fresh snow, the opposite of black."
"--- Chủ đề: Con người & Cơ thể ---",,"",,,""
person,người,"Each person on the team has a specific role.",daily-life,noun,"Use for an individual human being."
people,mọi người; nhiều người,"Many people use this application every day.",daily-life,noun,"The plural of 'person'."
man,đàn ông,"A man from the IT department is here to fix the printer.",daily-life,noun,"Use for an adult male human being."
woman,phụ nữ,"The project manager is a very capable woman.",daily-life,noun,"Use for an adult female human being."
child,đứa trẻ,"He has to leave early to pick up his child from school.",daily-life,noun,"Use for a young human being below the age of puberty."
head,cái đầu,"He nodded his head in agreement.",daily-life,noun,"The upper part of the human body, containing the brain, mouth, and sense organs."
face,khuôn mặt,"Facial recognition is a feature of many modern phones.",daily-life,noun,"The front part of a person's head from the forehead to the chin."
eye,mắt,"Staring at the screen for too long can hurt your eyes.",daily-life,noun,"The organ of sight."
hand,bàn tay,"Please raise your hand if you have a question.",daily-life,noun,"The end part of a person's arm beyond the wrist, including the palm, fingers, and thumb."
"--- Chủ đề: Hành động & Cảm giác ---",,"",,,""
see,nhìn thấy,"Did you see the latest email about the system update?",daily-life,verb,"Use for perceiving with the eyes."
look,nhìn,"Please look at the monitor.",daily-life,verb,"Use for directing one's gaze in a particular direction."
watch,xem,"I will watch the training video later.",daily-life,verb,"Use for looking at something for a period of time, especially something that is changing or moving."
hear,nghe thấy,"I can't hear you, the connection is bad.",daily-life,verb,"Use for perceiving with the ear the sound made by someone or something."
touch,chạm vào,"Do not touch the server hardware without permission.",daily-life,verb,"Use for coming into contact with something with a part of the body, especially the hands."
feel,cảm thấy; cảm nhận,"I feel confident about our new project approach.",daily-life,verb,"Use for experiencing an emotion or a physical sensation."
think,suy nghĩ,"I think this is the most efficient solution.",daily-life,verb,"Use for having a particular opinion, belief, or idea."
know,biết,"I know how to fix this bug.",daily-life,verb,"Use for having information, understanding, or skill as a result of experience or learning."
understand,hiểu,"Do you understand the requirements for this task?",daily-life,verb,"Use for perceiving the intended meaning of words, a language, or a speaker."
want,muốn,"I want to learn more about machine learning.",daily-life,verb,"Use for having a desire to possess or do something."
need,cần,"We need a better validation process.",daily-life,verb,"Use for requiring something because it is essential or very important."
use,sử dụng,"Which framework should we use for this project?",general,verb,"Use for taking, holding, or deploying something as a means of accomplishing a purpose."
help,giúp đỡ,"Could you help me with this configuration file?",general,verb,"Use for making it easier or possible for someone to do something."
word,meaning,example,tag,type,use_when

"--- SECTION: TỪ VỰNG THÔNG DỤNG (DAILY LIFE) - PART 3 ---",,"",,,""
"--- Chủ đề: Hành động & Tương tác (Verbs) ---",,"",,,""
get,nhận; lấy,"I need to get the latest code from the repository.",general,verb,"Use as a very general term for receiving, obtaining, or fetching something."
give,đưa; cho,"Can you give me access to the test server?",general,verb,"Use for freely transferring the possession of something to someone."
take,lấy; cầm,"Please take notes during the meeting.",general,verb,"Use for laying hold of something with one's hands; can also mean to carry or bring."
bring,mang đến,"Please bring your laptop to the presentation.",general,verb,"Use for taking or carrying someone or something to a place."
send,gửi,"I will send you the report via email.",general,verb,"Use for causing something to go or be taken to a particular destination."
receive,nhận,"Did you receive the notification about the system maintenance?",general,verb,"Use as a more formal way to say 'get', especially for mail or information."
open,mở,"Please open the attached file to see the requirements.",general,verb,"Use for moving something to a position that is not closed; also for starting a file or application."
close,đóng,"Remember to close the database connection after finishing your task.",general,verb,"Use as the opposite of 'open'; also for terminating a program or connection."
start,bắt đầu,"Let's start the meeting now.",general,verb,"Use for beginning to do something. 'Begin' is a more formal synonym."
begin,bắt đầu,"The training program will begin next Monday.",general,verb,"Use as a slightly more formal synonym for 'start'."
finish,kết thúc; hoàn thành,"He needs to finish his work before the deadline.",general,verb,"Use for bringing a task or activity to an end."
end,kết thúc,"The project will end next month.",general,verb,"Use for when something naturally comes to a final point."
stop,dừng lại,"We had to stop the deployment due to an unexpected error.",general,verb,"Use for ceasing an action or movement."
wait,chờ đợi,"We are waiting for the server to restart.",general,verb,"Use for staying where one is or delaying action until a particular time."
try,thử,"Let's try a different approach to solve this bug.",general,verb,"Use for making an attempt or effort to do something."
find,tìm thấy,"I can't find the function definition in this file.",general,verb,"Use for discovering something, either by searching or by chance."
lose,làm mất; thua,"Don't lose this USB drive; it contains important data.",general,verb,"Use for being deprived of or ceasing to have something; also the opposite of 'win'."
win,chiến thắng,"Our team hopes to win the innovation award.",general,verb,"Use for being successful or victorious in a contest or conflict."
"--- Chủ đề: Mua sắm & Tiền bạc ---",,"",,,""
buy,mua,"We need to buy a new license for the development software.",daily-life,verb,"Use for acquiring something in exchange for money."
sell,bán,"The company decided to sell its old server hardware.",daily-life,verb,"Use for giving something in exchange for money, the opposite of 'buy'."
pay,trả tiền,"You can pay for the subscription with a credit card.",daily-life,verb,"Use for giving someone money that is due for goods or services."
cost,giá; chi phí,"What is the total cost of the cloud computing service?",daily-life,noun/verb,"Use as a noun for the amount of money needed, or a verb for requiring payment."
price,giá cả,"The price of the new processor is quite high.",daily-life,noun,"Use for the amount of money expected or given in payment for something."
money,tiền,"We need to allocate more money to the research budget.",daily-life,noun,"Use as a general term for the medium of exchange in the form of coins and banknotes."
cash,tiền mặt,"The cafeteria only accepts cash.",daily-life,noun,"Use for physical money (banknotes and coins)."
credit card,thẻ tín dụng,"Online payments are usually made with a credit card.",daily-life,noun,"A plastic card used to buy goods or services and pay for them later."
bill,hóa đơn,"I need to pay the electricity bill for the office.",daily-life,noun,"Use for a printed or written statement of money owed for goods or services."
receipt,biên lai,"Please keep the receipt for warranty purposes.",daily-life,noun,"Use for a piece of paper confirming that money has been paid for something."
"--- Chủ đề: Sở thích & Giải trí ---",,"",,,""
hobby,sở thích,"Programming started as a hobby for him.",daily-life,noun,"An activity done regularly in one's leisure time for pleasure."
music,âm nhạc,"Listening to music helps me focus while coding.",daily-life,noun,"Vocal or instrumental sounds combined in such a way as to produce beauty of form, harmony, and expression of emotion."
movie,phim điện ảnh,"The team is going to watch a movie together on Friday night.",daily-life,noun,"Use for a story or event recorded by a camera as a set of moving images. 'Film' is a common synonym."
book,sách,"I am reading a book about system architecture.",daily-life,noun,"A written or printed work consisting of pages glued or sewn together along one side."
game,trò chơi,"He works as a developer for a video game company.",daily-life,noun,"An activity that one engages in for amusement or fun."
sport,thể thao,"Regularly playing a sport is good for your health.",daily-life,noun,"An activity involving physical exertion and skill in which an individual or team competes against another."
dance,nhảy; khiêu vũ,"She loves to dance after a long week of work.",daily-life,verb/noun,"To move rhythmically to music."
sing,hát,"He likes to sing while he takes a shower.",daily-life,verb,"To make musical sounds with the voice."
